zoekopdracht;datum;url;sentiment;type;discussielengte;views;auteur;volgers;invloed;GPS breedtegraad;GPS lengtegraad;bericht tekst;type bron;titel;aantal woorden
dividendbelasting;43363,27778;https://twitter.com/StijnJansen90/status/1042634578584756225;;post;;548;StijnJansen90;548;3.4;;;Als je net als @markrutte wil dat de lonen omhoog gaan, moet je het voor bedrijven onaantrekkelijk maken om #dividend uit te keren. Dus niet de [#dividendbelasting] [afschaffen], maar juist verhogen...  In tijden dat de winsten enorm stijgen en de lonen n;twitter;;45
dividendbelasting;43362,75972;https://twitter.com/johan_boz/status/1042446725066178560;;post;;13;johan_boz;13;2.1;;;@geertwilderspvv 2 miljard [dividendbelasting] [afschaffen] leverd hoe veel banen op ? 2 miljard per jaar staat gelijk aan 50.000 mensen een modaal inkomen geven zonder dat ze daarvoor iets hoeven te doen.  Hoeveel meer banen gaan Shell en Unilever hiervo;twitter;;45
dividendbelasting;43362,5375;https://twitter.com/JohnHennink/status/1042366290210553856;;post;2;20;JohnHennink;20;2.4;;;"""Dijkhoff herhaalt dat er genoeg argumenten zijn om tot afschaffing van  de [dividendbelasting] te komen. ,,Het is een gok, wat je ook doet"", zegt  hij wel"".  Kunnen we dan niet veel beter die andere gok nemen en die ruim 2 miljard in de zak [houden]?";twitter;;45
dividendbelasting;43361,78194;https://twitter.com/Oriental__Beat/status/1042092497680392192;;post;;331;Oriental__Beat;331;3.2;;;Vind het wel mooi. deze nuancerende woorden over kritiek op [afschaffen] [#dividendbelasting], in #didd📻 Gaat idd om paar honderd banen, maar toch, die uitstraling, en ik denk --> dat #maakindustrie ook weer terug komt naar 🇳🇱. Mits men personeel;twitter;;45
dividendbelasting;43378,78958;https://twitter.com/PoliZiek1/status/1048255841386807296;;post;;1743;PoliZiek1;1743;5.5;;;Unilever komt niet en de [#dividendbelasting] wordt ineens heroverwegen 😳🤔 Wat een blamage voor #Rutte die zo zijn best had gedaan voor #Unilever 😅 En als het [afschaffen] van de [dividendbelasting] van tafel gaat heeft hij ook meteen ruzie met #;twitter;;44
dividendbelasting;43378,64306;https://twitter.com/RemcovdReest/status/1048202761882537986;;post;2;902;RemcovdReest;902;1.3;;;"Miljoenen Nederlanders willen dit al tijden van tafel. @MinPres voelt al een jaar lang ""tot in het diepste van z'n vezels"" dat het [afschaffen] van #dividentbelasting moet doorgaan. Eén bedrijf geeft aan hoofdkantoor niet naar NL te verplaatsen en nu wor";twitter;;44
dividendbelasting;43378,49444;https://twitter.com/DriveclubPSV/status/1048148829877534720;;post;;37;DriveclubPSV;37;1.3;;;Dat uitgerekend op de #DagVanDeLeraar, dat wat @MinPres als parttimer is op donderdag, leert #Rutte dat [afschaffen] van de [#Dividendbelasting] absoluut niet meer te verdedigen is. Ga diep door het stof, huil uit en doe wat 97% van #Nederland wil: die be;twitter;;44
dividendbelasting;43376,51458;https://twitter.com/alma_ata5/status/1047431473140252674;;post;;123;alma_ata5;123;1.5;;;Je had de kans te protesteren in het vorig kabinet en de stekker eruit te trekken. In plaats daarvan heb je de hele zaak afgebroken. Zorg, woningnood, islamisering, immigratie, btw verhoging, energieprijs verhoging etc. en nu alleen protesteren tegen divi;twitter;;44
dividendbelasting;43376,46736;https://twitter.com/IKouwenhoven/status/1047414341610483712;;post;2;175;IKouwenhoven;175;2.7;;;"""De raming van de #kosten van het [#afschaffen] van de [#dividendbelasting], dat wil zeggen de €1,9 miljard, is door het CPB getoetst en gecertificeerd. Daarbij heeft het CPB inderdaad, zoals de heer Spanjers schrijft, aangegeven dat de uitkomst een hog";twitter;;44
dividendbelasting;43364,82083;https://twitter.com/hanslhattem/status/1043193890189262849;;post;4;689;hanslhattem;689;2.5;;;De gehele oppositie, dus ook de #SGP, steunt een motie met de oproep gezamenlijk te kijken naar alternatieven voor afschaffing [#dividendbelasting]. En misschien staan de #CU & #D66 hier inhoudelijk ook wel achter, maar zij blijven Rutte steunen die vast ;twitter;;44
dividendbelasting;43364,50764;https://twitter.com/marianne_oets/status/1043080276870619136;-;post;;410;marianne_oets;410;3.4;;;Ja hoor Al 10 jaar is @MinPres  bezig met afschaffing [dividendbelasting], memo's kwijt of geen herinnering aan nu de smoesjes op zijn moet de [#dividendbelasting] afgeschaft worden omdat we rekening moeten [houden] met brexit. Dit is ongeloofwaardig en o;twitter;;44
dividendbelasting;43364,50208;https://twitter.com/ingeltsje1971/status/1043078371289325568;-;post;;45;ingeltsje1971;45;1.3;;;@jesseklaver Even een vraag... Dat de regeringspartijen de [#dividendbelasting] willen [afschaffen], is toch alleen nog maar een wetsvoorstel? M.a.w. het moet toch nog door de eerste kamer? En die gaan dat toch nooit van z'n leven goedkeuren? Of zie ik da;twitter;;44
dividendbelasting;43362,52847;https://twitter.com/JohnKerstens/status/1042363121547923456;;post;12;7517;JohnKerstens;7517;41.3;;;Dijkhoff wil niet meer herinnerd worden aan z’n uitspraak dat [afschaffen] van de [dividendbelasting] een ‘gok’ is. Z’n redenering nu: ‘We geven alvast twee miljard per jaar weg, omdat er een klein kansje is dat we ‘t anders over tien jaar kwi;twitter;;44
dividendbelasting;43378,76667;https://twitter.com/b_v_apeldoorn/status/1048247528205037569;-;post;;858;b_v_apeldoorn;858;14.5;;;#Rutte was er zelf ook al eerder achter: “het [afschaffen]  van de [#dividendbelasting] is natuurlijk een bizarre maatregel” - des te bizarder hoe lang hij er aan vast hield. Maar nu ook snel die 2 miljard per jaar investeren in de publieke sector.;twitter;;43
dividendbelasting;43378,48264;https://twitter.com/freddekater/status/1048144556045336576;;post;;84;freddekater;84;4.7;;;Misschien heeft @MinPres  wel een leuk buitenlands BVtje met een pak aandelen UNILEVER en SHELL zo heeft hij indirect ook voordeel van het [afschaffen] van de [dividendbelasting], maar dat zou oneerlijk zijn en zo is onze @MinPres  natuurlijk niet. Verstr;twitter;;43
dividendbelasting;43378,44097;https://twitter.com/marcelbar8/status/1048129486326300672;;post;;1570;marcelbar8;1570;4.7;;;Leiderschap is niet alleen - de dingen doen waarin je gelooft (desnoods tegen de stroom in), maar óók - verbinding [houden] met de bevolking, openstaan voor andere meningen, over je eigen schaduw heen springen en je verlies te durven nemen. #Rutte [#div;twitter;;43
dividendbelasting;43372,67847;https://twitter.com/RoelJanssen2go/status/1046041211725852672;;post;;1151;RoelJanssen2go;1151;2.5;;;Of misschien de belastingen. Zoals de btw verhoging van 19 naar 21% om de klap van de financiële crisis op te vangen -  en volgend jaar lage tarief van 6 naar 9% om het gat van de afschaffing van de  [dividendbelasting] te betalen.;twitter;;43
dividendbelasting;43368,88889;https://twitter.com/Liesje28/status/1044668041622114305;+;post;;282;Liesje28;282;1.6;;;#VVD: in het regeerakkoord staat [afschaffen] [#dividendbelasting], dus daar [houden] we aan vast, ook al wil niemand het. Ook VVD: in het regeerakkoord staat dat geen rechtsgebieden uitgesloten worden van  #rechtsbijstand, maar we doen het gewoon lekker ;twitter;;43
dividendbelasting;43365,78333;https://twitter.com/eduardo3157/status/1043542460528517120;;post;2;31;eduardo3157;31;0.8;;;En ook dit komt weinig naar voren: Er dreigt een tegenvaller van 1,7 milj.door procedures van buitenl.beleggers wegens de #DB. In een eerdere zaak tegen de Deense staat hebben buitenl.beleggers recent gelijk gekregen van het Europees hof. Er lopen in tota;twitter;;43
dividendbelasting;43364,50208;https://twitter.com/eapamsterdam/status/1043078243669213184;;post;;5347;eapamsterdam;5347;0.7;;;Rutte verdedigt [afschaffen] [dividendbelasting]. Hij slaagt er op geen enkele wijze in deze maatregel te verdedigen. Veel mistige antwoorden, geen antwoord op vraag verdubbeling winst Shell en Unilever , terwijl mensen in Nederland in 15 jaar tijd gemidd;twitter;;43
dividendbelasting;43363,99236;https://twitter.com/MarjoleinMoor/status/1042893570456346624;+;post;8;8492;MarjoleinMoor;8492;21.1;;;Ha Klaas @dijkhoff, ben t niet vaak met je eens, maar wel met je pleidooi voor goede #voorschool @pauwnl Voorkomt idd dat kinderen met achterstand naar lagere school gaan. Goede investering dus voor elk kind. Veel beter rendement dan bijv [afschaffen] [#d;twitter;;43
dividendbelasting;43363,34792;https://twitter.com/nicothenu/status/1042660077109428225;;post;;170;nicothenu;170;5.8;;;Strenger straffen lijkt afleiding [#dividendbelasting],maar een 2e & 3e reden dat #Dijkhoff een balletje op gooit over strenger straffen in probleemwijken lijkt ook om zijn coalitiegenoten een #gratis succesje te gunnen of uit de wind te [houden].Het gaat;twitter;;43
dividendbelasting;43378,73472;https://twitter.com/DSpruitenburg/status/1048235929251590144;+;post;18;29;DSpruitenburg;29;3.4;;;Precies. Maanden dringt de oppositie aan: nul argumenten voor afschaffing [#dividendbelasting] en grote meerderheid v.d. bevolking is tegen, maar geen cm beweging. 1 persbericht van Unilever en het plan wordt heroverwogen. Ik zou blij zijn als het niet zo;twitter;;42
dividendbelasting;43378,70972;https://twitter.com/HappyKaffer/status/1048226898726346752;-;post;2;497;HappyKaffer;497;5.2;;;"NIEMAND in Nederland, behalve Mark Rutte, wilde die [dividendbelasting] [afschaffen]. Met al zijn achterbakse trucjes dreef hij zijn zin door. Tot de beoogde begunstigde van de maatregel zei: ""Laat maar"". En: ""Fuck you"".  NU luistert hij. Iemand nog vertr";twitter;;42
dividendbelasting;43378,61667;https://twitter.com/BasBoss/status/1048193223708033029;;post;4;194;BasBoss;194;1;;;Ik ben zeker niet vóór het [afschaffen] van de dividentbelasting maar het feit dat Unilever, door de grote onzekerheid over het doorgaan van de maatregel, nu overwegen NIET te gaan verhuizen naar NL is toch juist een argument vóór de afschaffing? [#di;twitter;;42
dividendbelasting;43378,45972;https://twitter.com/pt_zuidema/status/1048136304851124224;-;post;;41;pt_zuidema;41;1.7;;;Roet, veeg of zwart wordt Piet. Maar psssst, geen drukte, hij bestaat niet. In Den Haag  (VVD) het is wel echt wordt met een leugen een meer dan twee miljard euro pleit beslecht. Rutte wees een vent niet [afschaffen] dat dividend! [#dividendbelasting];twitter;;42
dividendbelasting;43378,38056;https://twitter.com/Gaatsz/status/1048107748309835776;;post;;112;Gaatsz;112;3.3;;;Zo @MinPres ,daar gaan je argumenten voor het [afschaffen] van de [#dividendbelasting] Ik ben benieuwd hoe u dit nu weer gaat spinnen... Waarschijnlijk komt er nu weer een of ander verhaal wat van geen kanten klopt en niet onderbouwd is #howdoyousleepatni;twitter;;42
dividendbelasting;43376,94028;https://twitter.com/RESPECTtheDUTCH/status/1047585783794868225;;post;2;194;RESPECTtheDUTCH;194;2.8;;;2,5 milj [dividendbelasting]. Wat kunnen wij daarmee doen? Wij kunnen daar 50.000 banen met een salaris van 50.000 euro creëren. Bijv: in de zorg, politie, leraren, leger, ziekenhuizen of eerder stoppen met werken. Daarom ben ik tegen het [afschaffen] va;twitter;;42
dividendbelasting;43367,81319;https://twitter.com/AnsDesumma/status/1044278232541999104;;post;;326;AnsDesumma;326;2.2;;;Je niet scharen aan de zijde van de partijen die tegen het [afschaffen] van de [dividendbelasting] zijn is niet “zonder last of ruggespraak” regeren, maar gaat niet op als je enige argument om voor te stemmen is de coalitie overeind te [houden];twitter;;42
dividendbelasting;43364,73889;https://twitter.com/BaalSoros/status/1043164078326407168;;post;;0;BaalSoros;0;0.7;;;Waarom moeten we [#dividendbelasting] [afschaffen] zonder profijt van te hebben? Enkel brexiters hebben baat bij. Make je geen zorgen @MinPres, #uk heeft geen echte data scientist. #unilever heeft meer baat bij NL qua BI en data science. Verraad ons land ;twitter;;42
dividendbelasting;43364,52639;https://twitter.com/josoostendorp/status/1043087181617786880;;post;;29;josoostendorp;29;0.6;;;Weet je wat een beter plan is dan [afschaffen] [#dividendbelasting] ? Belonen op het moment van wij blijven hier voor de komende jaren! Belonen van die bedrijven die uit een #brexit naar Nederland komen voor de komende jaren! #Rutte #oppositie #unilever #;twitter;;42
dividendbelasting;43364,41667;https://twitter.com/Jefoer/status/1043047263864606720;;post;2;26;Jefoer;26;0.7;;;Tja @MinPres, daar gaan je 1,5% uit de #Troonrede: Ik lees net dat hier volgend jaar de OZB lasten met meer dan 3% stijgen. Dus het wordt net als alle voorgaande jaren: koopkracht minder ipv. meer. Dus toch maar de [#dividendbelasting] [houden]?;twitter;;42
dividendbelasting;43363,69861;https://twitter.com/AObtweets/status/1042787025387220992;;post;18;14099;AObtweets;14099;52.2;;;Vandaag de tweede FNV-actie tegen het [afschaffen] van de [dividendbelasting] in #Zwolle. #AOb-kaderleden laten ook hun stem horen: 'Er is geen geld om het lerarentekort op te lossen, maar wel 2 miljard om een cadeautje aan multinationals te geven.' #fnv ;twitter;;42
dividendbelasting;43362,75347;https://twitter.com/JansensAdriaan/status/1042444601754304512;-;post;7;1296;JansensAdriaan;1296;47.2;;;Ja precies, misselijkmakende CDA vent die Buma, wanneer het erop aankomt blijft ie net zoals de rest van de politiek correcte figuren op zijn krent zitten. Slappe praatjes [houden], de mores van de Kamer naleven en maar hopen dat het goedkomt, never.;twitter;;42
dividendbelasting;43378,74097;https://twitter.com/Anjoseuters/status/1048238237758705664;;post;;1060;Anjoseuters;1060;4.7;;;Het aangeslagen kabinet #Rutte3 , dat straks (waarschijnlijk) de meerderheid in de eerste kamer verliest, kan beter de eer aan zichzelf [houden]. #RutteMoetAftreden Van de afschaffing van de [#dividendbelasting] was zo'n speerpunt gemaakt dat er geen weg ;twitter;;41
dividendbelasting;43378,55139;https://twitter.com/douweaab/status/1048169584090656768;;post;;1152;douweaab;1152;1;;;NIKS PIJNLIJK voor Rutte!! Het tegendeel! Het is het bewijs dat hij gelijk heeft en UW AFBRAAK IDEETJES DESATREUS ZIJN. Rutte ZAL STOER DOORGAAN om àlles te doen om de int. concurrentie aan te gaan en BANEN TE BEHOUDEN, ipv afbreken..;twitter;;41
dividendbelasting;43378,54375;https://twitter.com/HarryPater62/status/1048166737542307841;-;post;43;6250;HarryPater62;6250;382.2;;;Wat een totale, vernederende afgang van dit kabinet. [#dividendbelasting]  @MinPres móét nu de eer aan zichzelf [houden] en aftreden. !! @VVD @gertjansegers @sybrandbuma dan kan gluiperd @APechtold ook zijn vertrek aankondigen en zijn we van die bescham;twitter;;41
dividendbelasting;43378,54306;https://twitter.com/kabouter62/status/1048166626749816834;;post;;103;kabouter62;103;1.2;;;Ik zal het u uitleggen. U heeft twee bakstenen die u boven water wilde halen nl 1 MH17 en 2. [Dividendbelasting] [afschaffen]. ad.1 heeft u jaren geleden al laten vallen ad.2. LAAT U VALLEN. Vindt u dat geen Hint @MinPres ?;twitter;;41
dividendbelasting;43378,45833;https://twitter.com/RikBerends/status/1048135924264128512;;post;3;188;RikBerends;188;2;;;Het besluit van Unilever lijkt mij een doodsteek voor het [afschaffen] van de [dividendbelasting]. Natuurlijk, VVD zal er voor blijven staan en dat is hun goedrecht. Maar als CU en D66 is de maatregel echt niet meer te verkopen, volgens mij.;twitter;;41
dividendbelasting;43378,39028;https://twitter.com/Smink_Erik/status/1048111074791370752;;post;;349;Smink_Erik;349;1.6;;;Ik ben toch vooral benieuwd of de door @MinPres aangekondigde verslechtering van de economie in NL nu start, die hij voorspelde als dit soort bedrijven niet voor ons land kiest. Immers, duizenden banen in de toeleverende sectoren op de tocht, etc.;twitter;;41
dividendbelasting;43378,38611;https://twitter.com/MCJHuisman/status/1048109564439216128;-;post;3;85;MCJHuisman;85;6.8;;;Ik neem aan dat @MinPres geen enkele argument meer over hebt om zijn onzalige [#dividendbelasting] plan overeind te [houden]. Ook zonder belasting vrije maatregelen gaan grote bedrijven weg uit Nederland. Motie van wantrouwen of direct in de prullenbak da;twitter;;41
dividendbelasting;43378,38194;https://twitter.com/Raaphorst/status/1048108202196447232;+;post;;2589;Raaphorst;2589;2.8;;;Iedereen die tegen de [afschaffen] van de [dividendbelasting] was heeft ronduit gelijk gekregen. Het was een gokspelletje van 2 miljard euro. Ten koste van zoveel mooie dingen. Typisch een voorbeeld van de 6-jes cultuur. Met VVD aan kop. Een oliedomme par;twitter;;41
dividendbelasting;43378,28819;https://twitter.com/NCIinfo/status/1048074142929604608;;post;;252;NCIinfo;252;0.8;;;Als lid van de Eerste Kamer diende hij in 2015 namelijk een motie in die met brede steun werd aangenomen. Nu hij als minister van Financiën de [dividendbelasting] wil [afschaffen] krijgt hij die motie als een boemerang in zijn nek. https://t.co/ubaMkIdXN;twitter;;41
dividendbelasting;43376,80556;https://twitter.com/KneeGrowPleaze/status/1047536927908540416;;post;9;24;KneeGrowPleaze;24;4.8;;;#dwdd Memphis is een voorbeeld van een goede Christen, hij geeft geld AAN arme kinderen. Haarsma Buma #CDA die geld v kleine kinderen AFPAKT ([afschaffen] voorschool) om aan rijke buitenlandse aandeelhouders te geven via de [#dividendbelasting], 'n voorbe;twitter;;41
dividendbelasting;43374,83472;https://twitter.com/brendainberlijn/status/1046822665191854080;-;post;3;114;brendainberlijn;114;5.1;;;"""In die zin is het [afschaffen] van de [dividendbelasting] een dikke middelvinger in het gezicht van de honderdduizenden mannen en vrouwen die onze kinderen onderwijzen, ons verzorgen als we ziek zijn of ons beschermen tegen criminelen en terroristen."" #l";twitter;;41
dividendbelasting;43374,46736;https://twitter.com/jsw1952/status/1046689507280588800;;post;3;712;jsw1952;712;3.3;;;“Vasthouden aan principes” 🤔 Even nadenken ..... ➡️Zou Ewout mss de #afschaffing van het referendum bedoelen? ▶️Of zou Ewout de #afschaffing van de [dividendbelasting] bedoelen?  #D66 houdt iig wel van [afschaffen]. De D van Democratie komt;twitter;;41
dividendbelasting;43371,37708;https://twitter.com/Sandervdw/status/1045569784421785600;;post;2;685;Sandervdw;685;1.3;;;@minpres hanteert rond [dividendbelasting] het argument dat het niet [afschaffen] op korte termijn goed zou zijn voor zijn populariteit maar slecht voor de toekomst van het land. En dat hij dit dus echt moet doen. Waarom niet dezelfde overweging rond #kli;twitter;;41
